,X,Y,R,Theta,Thickness
0,0.0,0.0,0.0,0.0,0.04689439216602939
1,12.25,0.0,12.25,0.0,0.04776158061227961
2,8.66,8.66,12.25,45.0,0.05522505613247739
3,0.0,12.25,12.25,90.0,0.09878126511121368
4,-8.66,8.66,12.25,135.0,0.044727485523476114
5,-12.25,0.0,12.25,180.0,0.05422156068884697
6,-8.66,-8.66,12.25,225.0,0.0628320204262559
7,-0.0,-12.25,12.25,270.0,0.08577128868015782
8,8.66,-8.66,12.25,315.0,0.04849002865682564
9,24.5,0.0,24.5,0.0,0.14881852983466798
10,22.64,9.38,24.5,22.5,0.15242716924710692
11,17.32,17.32,24.5,45.0,0.14522474939787716
12,9.38,22.64,24.5,67.5,0.13565232890058346
13,0.0,24.5,24.5,90.0,0.16508767867245666
14,-9.38,22.64,24.5,112.5,0.14580626168361094
15,-17.32,17.32,24.5,135.0,0.13666572539939567
16,-22.64,9.38,24.5,157.5,0.1330107018642175
17,-24.5,0.0,24.5,180.0,0.15325304257951708
18,-22.64,-9.38,24.5,202.5,0.14355152356486606
19,-17.32,-17.32,24.5,225.0,0.1284106088101637
20,-9.38,-22.64,24.5,247.5,0.14453031303838834
21,-0.0,-24.5,24.5,270.0,0.1462757004269426
22,9.38,-22.64,24.5,292.5,0.14523452294248831
23,17.32,-17.32,24.5,315.0,0.1295528098895111
24,22.64,-9.38,24.5,337.5,0.14365752027052053
25,36.75,0.0,36.75,0.0,0.2608150937411519
26,35.5,9.51,36.75,15.0,0.25434369606032164
27,31.83,18.37,36.75,30.0,0.2772511103071513
28,25.99,25.99,36.75,45.0,0.25431326236974056
29,18.38,31.83,36.75,60.0,0.27762813705970246
30,9.51,35.5,36.75,75.0,0.26342597493824427
31,0.0,36.75,36.75,90.0,0.2822158085770844
32,-9.51,35.5,36.75,105.0,0.2734517988540602
33,-18.37,31.83,36.75,120.0,0.26386829681733615
34,-25.99,25.99,36.75,135.0,0.2799330983333586
35,-31.83,18.37,36.75,150.0,0.26693897278583445
36,-35.5,9.51,36.75,165.0,0.2683568492612944
37,-36.75,0.0,36.75,180.0,0.2787664483505289
38,-35.5,-9.51,36.75,195.0,0.2763285057953388
39,-31.83,-18.38,36.75,210.0,0.27497430723907057
40,-25.99,-25.99,36.75,225.0,0.262030355566037
41,-18.38,-31.83,36.75,240.0,0.2543802963760454
42,-9.51,-35.5,36.75,255.0,0.2737437630147598
43,-0.0,-36.75,36.75,270.0,0.2667024432136347
44,9.51,-35.5,36.75,285.0,0.27527619677335385
45,18.38,-31.83,36.75,300.0,0.2777884675555756
46,25.99,-25.99,36.75,315.0,0.2568894037687828
47,31.83,-18.38,36.75,330.0,0.2548404554522904
48,35.5,-9.51,36.75,345.0,0.25567805139016936
49,49.0,0.0,49.0,0.0,0.43454472987412274
50,48.06,9.56,49.0,11.25,0.44277655477019867
51,45.27,18.75,49.0,22.5,0.4379945811137113
52,40.74,27.22,49.0,33.75,0.4358925203239773
53,34.65,34.65,49.0,45.0,0.45420069010326547
54,27.22,40.74,49.0,56.25,0.44083600382688054
55,18.75,45.27,49.0,67.5,0.45862580328669666
56,9.56,48.06,49.0,78.75,0.449617372375612
57,0.0,49.0,49.0,90.0,0.44478831341863856
58,-9.56,48.06,49.0,101.25,0.4321058666014768
59,-18.75,45.27,49.0,112.5,0.4430661990836146
60,-27.22,40.74,49.0,123.75,0.45754597512900197
61,-34.65,34.65,49.0,135.0,0.44252330471863116
62,-40.74,27.22,49.0,146.25,0.438799785693312
63,-45.27,18.75,49.0,157.5,0.4387767468869421
64,-48.06,9.56,49.0,168.75,0.4445895339123246
65,-49.0,0.0,49.0,180.0,0.4414990826338171
66,-48.06,-9.56,49.0,191.25,0.45344937596332274
67,-45.27,-18.75,49.0,202.5,0.43935095429695215
68,-40.74,-27.22,49.0,213.75,0.4376514317390317
69,-34.65,-34.65,49.0,225.0,0.454977061449927
70,-27.22,-40.74,49.0,236.25,0.4354752855780521
71,-18.75,-45.27,49.0,247.5,0.45855826499737223
72,-9.56,-48.06,49.0,258.75,0.4498350307562336
73,-0.0,-49.0,49.0,270.0,0.44740146432065575
74,9.56,-48.06,49.0,281.25,0.4321874754036691
75,18.75,-45.27,49.0,292.5,0.45049829547930004
76,27.22,-40.74,49.0,303.75,0.4362243849338123
77,34.65,-34.65,49.0,315.0,0.43586574025708724
78,40.74,-27.22,49.0,326.25,0.4519479074398817
79,45.27,-18.75,49.0,337.5,0.4303990402240039
80,48.06,-9.56,49.0,348.75,0.43044552901254807
81,61.25,0.0,61.25,0.0,0.6603297073283586
82,60.5,9.58,61.25,9.0,0.6422170030145367
83,58.25,18.93,61.25,18.0,0.6604702466154931
84,54.57,27.81,61.25,27.0,0.6367553330851446
85,49.55,36.0,61.25,36.0,0.6609745709985976
86,43.31,43.31,61.25,45.0,0.7242693020947553
87,36.0,49.55,61.25,54.0,0.6585517269289697
88,27.81,54.57,61.25,63.0,0.6597466622142224
89,18.93,58.25,61.25,72.0,0.6602347314941676
90,9.58,60.5,61.25,81.0,0.6471898399591997
91,0.0,61.25,61.25,90.0,0.6361374324237746
92,-9.58,60.5,61.25,99.0,0.6620604952756958
93,-18.93,58.25,61.25,108.0,0.6368618636824523
94,-27.81,54.57,61.25,117.0,0.6469156326007053
95,-36.0,49.55,61.25,126.0,0.6526652710950998
96,-43.31,43.31,61.25,135.0,0.7405295594373046
97,-49.55,36.0,61.25,144.0,0.6361572371083598
98,-54.57,27.81,61.25,153.0,0.6467406737628218
99,-58.25,18.93,61.25,162.0,0.660383420280274
100,-60.5,9.58,61.25,171.0,0.6579458799538882
101,-61.25,0.0,61.25,180.0,0.6432144964568304
102,-60.5,-9.58,61.25,189.0,0.6591889806830733
