,X,Y,R,Theta,Thickness
0,0.0,0.0,0.0,0.0,0.04689439216602939
1,12.25,0.0,12.25,0.0,0.001581600154595669
2,8.66,8.66,12.25,45.0,0.00904507567479345
3,0.0,12.25,12.25,90.0,0.05260128465352974
4,-8.66,8.66,12.25,135.0,-0.0014524949342078243
5,-12.25,0.0,12.25,180.0,0.00804158023116303
6,-8.66,-8.66,12.25,225.0,0.016652039968571952
7,-0.0,-12.25,12.25,270.0,0.039591308222473885
8,8.66,-8.66,12.25,315.0,0.0023100481991417
9,24.5,0.0,24.5,0.0,0.012705590790188742
10,22.64,9.38,24.5,22.5,0.016314230202627684
11,17.32,17.32,24.5,45.0,0.009111810353397918
12,9.38,22.64,24.5,67.5,-0.0004606101438957705
13,0.0,24.5,24.5,90.0,0.028974739627977416
14,-9.38,22.64,24.5,112.5,0.009693322639131698
15,-17.32,17.32,24.5,135.0,0.0005527863549164205
16,-22.64,9.38,24.5,157.5,-0.0031022371802617403
17,-24.5,0.0,24.5,180.0,0.01714010353503783
18,-22.64,-9.38,24.5,202.5,0.007438584520386817
19,-17.32,-17.32,24.5,225.0,-0.007702330234315555
20,-9.38,-22.64,24.5,247.5,0.008417373993909098
21,-0.0,-24.5,24.5,270.0,0.010162761382463354
22,9.38,-22.64,24.5,292.5,0.00912158389800907
23,17.32,-17.32,24.5,315.0,-0.006560129154968138
24,22.64,-9.38,24.5,337.5,0.007544581226041293
25,36.75,0.0,36.75,0.0,-0.02360658222696566
26,35.5,9.51,36.75,15.0,-0.030077979907795913
27,31.83,18.37,36.75,30.0,-0.007170565660966216
28,25.99,25.99,36.75,45.0,-0.030108413598377022
29,18.38,31.83,36.75,60.0,-0.00679353890841513
30,9.51,35.5,36.75,75.0,-0.020995701029873318
31,0.0,36.75,36.75,90.0,-0.002205867391033154
32,-9.51,35.5,36.75,105.0,-0.010969877114057412
33,-18.37,31.83,36.75,120.0,-0.02055337915078144
34,-25.99,25.99,36.75,135.0,-0.004488577634758937
35,-31.83,18.37,36.75,150.0,-0.01748270318228312
36,-35.5,9.51,36.75,165.0,-0.016064826706823188
37,-36.75,0.0,36.75,180.0,-0.00565522761758867
38,-35.5,-9.51,36.75,195.0,-0.008093170172778757
39,-31.83,-18.38,36.75,210.0,-0.009447368729047008
40,-25.99,-25.99,36.75,225.0,-0.022391320402080583
41,-18.38,-31.83,36.75,240.0,-0.03004137959207214
42,-9.51,-35.5,36.75,255.0,-0.010677912953357807
43,-0.0,-36.75,36.75,270.0,-0.01771923275448287
44,9.51,-35.5,36.75,285.0,-0.009145479194763724
45,18.38,-31.83,36.75,300.0,-0.006633208412541929
46,25.99,-25.99,36.75,315.0,-0.027532272199334806
47,31.83,-18.38,36.75,330.0,-0.029581220515827174
48,35.5,-9.51,36.75,345.0,-0.02874362457794822
49,49.0,0.0,49.0,0.0,-0.05947975626913955
50,48.06,9.56,49.0,11.25,-0.05124793137306362
51,45.27,18.75,49.0,22.5,-0.05602990502955097
52,40.74,27.22,49.0,33.75,-0.058131965819285016
53,34.65,34.65,49.0,45.0,-0.03982379603999683
54,27.22,40.74,49.0,56.25,-0.05318848231638179
55,18.75,45.27,49.0,67.5,-0.03539868285656566
56,9.56,48.06,49.0,78.75,-0.04440711376765031
57,0.0,49.0,49.0,90.0,-0.04923617272462375
58,-9.56,48.06,49.0,101.25,-0.06191861954178547
59,-18.75,45.27,49.0,112.5,-0.050958287059647694
60,-27.22,40.74,49.0,123.75,-0.03647851101426032
61,-34.65,34.65,49.0,135.0,-0.051501181424631115
62,-40.74,27.22,49.0,146.25,-0.0552247004499503
63,-45.27,18.75,49.0,157.5,-0.05524773925632019
64,-48.06,9.56,49.0,168.75,-0.04943495223093771
65,-49.0,0.0,49.0,180.0,-0.05252540350944519
66,-48.06,-9.56,49.0,191.25,-0.040575110179939575
67,-45.27,-18.75,49.0,202.5,-0.05467353184631016
68,-40.74,-27.22,49.0,213.75,-0.05637305440423062
69,-34.65,-34.65,49.0,225.0,-0.0390474246933353
70,-27.22,-40.74,49.0,236.25,-0.058549200565210215
71,-18.75,-45.27,49.0,247.5,-0.03546622114589009
72,-9.56,-48.06,49.0,258.75,-0.0441894553870287
73,-0.0,-49.0,49.0,270.0,-0.04662302182260657
74,9.56,-48.06,49.0,281.25,-0.061837010739593204
75,18.75,-45.27,49.0,292.5,-0.04352619066396225
76,27.22,-40.74,49.0,303.75,-0.05780010120944999
77,34.65,-34.65,49.0,315.0,-0.05815874588617507
78,40.74,-27.22,49.0,326.25,-0.0420765787033806
79,45.27,-18.75,49.0,337.5,-0.06362544591925841
80,48.06,-9.56,49.0,348.75,-0.06357895713071425
81,61.25,0.0,61.25,0.0,-0.08765657647984998
82,60.5,9.58,61.25,9.0,-0.10576928079367204
83,58.25,18.93,61.25,18.0,-0.08751603719271549
84,54.57,27.81,61.25,27.0,-0.11123095072306403
85,49.55,36.0,61.25,36.0,-0.08701171280961108
86,43.31,43.31,61.25,45.0,-0.023716981713453322
87,36.0,49.55,61.25,54.0,-0.08943455687923893
88,27.81,54.57,61.25,63.0,-0.08823962159398621
89,18.93,58.25,61.25,72.0,-0.08775155231404114
90,9.58,60.5,61.25,81.0,-0.100796443849009
91,0.0,61.25,61.25,90.0,-0.11184885138443398
92,-9.58,60.5,61.25,99.0,-0.08592578853251287
93,-18.93,58.25,61.25,108.0,-0.11112442012575635
94,-27.81,54.57,61.25,117.0,-0.1010706512075034
95,-36.0,49.55,61.25,126.0,-0.09532101271310889
96,-43.31,43.31,61.25,135.0,-0.007456724370903986
97,-49.55,36.0,61.25,144.0,-0.11182904669984879
98,-54.57,27.81,61.25,153.0,-0.10124561004538674
99,-58.25,18.93,61.25,162.0,-0.08760286352793463
100,-60.5,9.58,61.25,171.0,-0.09004040385432047
101,-61.25,0.0,61.25,180.0,-0.10477178735137829
102,-60.5,-9.58,61.25,189.0,-0.08879730312513529
103,-58.25,-18.93,61.25,198.0,-0.08979346703006227
104,-54.57,-27.81,61.25,207.0,-0.10857858352109592
105,-49.55,-36.0,61.25,216.0,-0.08769182646637244
106,-43.31,-43.31,61.25,225.0,-0.08956344908773936
107,-36.0,-49.55,61.25,234.0,-0.0963665274159593
108,-27.81,-54.57,61.25,243.0,-0.0896031426249416
109,-18.93,-58.25,61.25,252.0,-0.09470283582101931
110,-9.58,-60.5,61.25,261.0,-0.09662112285955439
111,-0.0,-61.25,61.25,270.0,-0.09589270869337761
112,9.58,-60.5,61.25,279.0,-0.10582046107697694
113,18.93,-58.25,61.25,288.0,-0.10218408729267286
114,27.81,-54.57,61.25,297.0,-0.09395661429840566
115,36.0,-49.55,61.25,306.0,-0.10637953032742298
116,43.31,-43.31,61.25,315.0,-0.09200450594440451
117,49.55,-36.0,61.25,324.0,-0.10273212235437872
118,54.57,-27.81,61.25,333.0,-0.09759215364906719
119,58.25,-18.93,61.25,342.0,-0.10178576758867565
120,60.5,-9.58,61.25,351.0,-0.09981780050199078
121,73.5,0.0,73.5,0.0,-0.17311362501129507
122,72.87,9.59,73.5,7.5,-0.15682227531598575
123,71.0,19.02,73.5,15.0,-0.16913954802622078
124,67.91,28.13,73.5,22.5,-0.17225463525099152
125,63.65,36.75,73.5,30.0,-0.16509207960781117
126,58.31,44.74,73.5,37.5,-0.14967410440610812
127,51.97,51.97,73.5,45.0,-0.07509098345809058
128,44.74,58.31,73.5,52.5,-0.16029239743263113
129,36.75,63.65,73.5,60.0,-0.16935183571706247
130,28.13,67.91,73.5,67.5,-0.17105969974640228
131,19.02,71.0,73.5,75.0,-0.15246983584502583
132,9.59,72.87,73.5,82.5,-0.16263778111801908
133,0.0,73.5,73.5,90.0,-0.155464855887299
134,-9.59,72.87,73.5,97.5,-0.16536487461681687
135,-19.02,71.0,73.5,105.0,-0.16466296069943528
136,-28.13,67.91,73.5,112.5,-0.16271002023189232
137,-36.75,63.65,73.5,120.0,-0.16130393701885326
138,-44.74,58.31,73.5,127.5,-0.16114080780155038
139,-51.97,51.97,73.5,135.0,-0.08515414496686925
140,-58.31,44.74,73.5,142.5,-0.1678170767958429
141,-63.65,36.75,73.5,150.0,-0.16567866631060996
142,-67.91,28.13,73.5,157.5,-0.1674610758902573
143,-71.0,19.02,73.5,165.0,-0.1593096778186655
144,-72.87,9.59,73.5,172.5,-0.1714153487415622
145,-73.5,0.0,73.5,180.0,-0.16267691141721172
146,-72.87,-9.59,73.5,187.5,-0.16142390484723823
147,-71.0,-19.02,73.5,195.0,-0.1686872398890928
148,-67.91,-28.13,73.5,202.5,-0.08807102554365565
149,-63.65,-36.75,73.5,210.0,-0.09886402015728468
150,-58.31,-44.74,73.5,217.5,-0.09558901556308783
151,-51.97,-51.97,73.5,225.0,-0.0920933798361093
152,-44.74,-58.31,73.5,232.5,-0.11552606952249592
153,-36.75,-63.65,73.5,240.0,-0.11212742959980757
154,-28.13,-67.91,73.5,247.5,-0.09395904269162753
155,-19.02,-71.0,73.5,255.0,-0.09048438846637744
156,-9.59,-72.87,73.5,262.5,-0.0886201858743203
157,-0.0,-73.5,73.5,270.0,-0.0995224890252785
158,9.59,-72.87,73.5,277.5,-0.11602004255231671
159,19.02,-71.0,73.5,285.0,-0.09827639204838218
160,28.13,-67.91,73.5,292.5,-0.09191730463284614
161,36.75,-63.65,73.5,300.0,-0.10604154497757454
162,44.74,-58.31,73.5,307.5,-0.10521784439379842
163,51.97,-51.97,73.5,315.0,-0.09394112853200651
164,58.31,-44.74,73.5,322.5,-0.09259842049247813
165,63.65,-36.75,73.5,330.0,-0.10068864921170653
166,67.91,-28.13,73.5,337.5,-0.092935129639128
167,71.0,-19.02,73.5,345.0,-0.1539470145462921
168,72.87,-9.59,73.5,352.5,-0.1675678358912516
