X,Y,R,Theta,Value
0.0,0.0,0.0,0.0,0.001632362710442945
12.25,0.0,12.25,0.0,0.006301474320262764
8.66,8.66,12.25,45.0,0.004657297260852571
0.0,12.25,12.25,90.0,-0.017465384887030807
-8.66,8.66,12.25,135.0,0.0022495043739589075
-12.25,0.0,12.25,180.0,0.006217753089391807
-8.66,-8.66,12.25,225.0,0.005439276988280756
-0.0,-12.25,12.25,270.0,0.004260965285353566
8.66,-8.66,12.25,315.0,0.0020374006852657577
24.5,0.0,24.5,0.0,0.013658566607365433
22.64,9.38,24.5,22.5,0.012228812132479415
17.32,17.32,24.5,45.0,0.016318957614186714
9.38,22.64,24.5,67.5,0.012008824127688951
0.0,24.5,24.5,90.0,-0.007909959753859028
-9.38,22.64,24.5,112.5,0.015126657346739892
-17.32,17.32,24.5,135.0,0.012533181191438265
-22.64,9.38,24.5,157.5,0.012409951735918677
-24.5,0.0,24.5,180.0,0.013604326089061912
-22.64,-9.38,24.5,202.5,0.015862346076622204
-17.32,-17.32,24.5,225.0,0.012090500993166912
-9.38,-22.64,24.5,247.5,0.014631565551100468
-0.0,-24.5,24.5,270.0,0.01370909620169231
9.38,-22.64,24.5,292.5,0.011617950537928419
17.32,-17.32,24.5,315.0,0.015123107972379115
22.64,-9.38,24.5,337.5,0.014635929320308206
36.75,0.0,36.75,0.0,0.03592006290795217
35.5,9.51,36.75,15.0,0.03338059543318777
31.83,18.37,36.75,30.0,0.03294705530135561
25.99,25.99,36.75,45.0,0.03428639592345743
18.38,31.83,36.75,60.0,0.03488034220957331
9.51,35.5,36.75,75.0,0.034081048138549695
0.0,36.75,36.75,90.0,0.035192754919501655
-9.51,35.5,36.75,105.0,0.03521480412230706
-18.37,31.83,36.75,120.0,0.035758730999703295
-25.99,25.99,36.75,135.0,0.036023054663621934
-31.83,18.37,36.75,150.0,0.03429922822650751
-35.5,9.51,36.75,165.0,0.03190545175558434
-36.75,0.0,36.75,180.0,0.0338843625997451
-35.5,-9.51,36.75,195.0,0.035010334984199504
-31.83,-18.38,36.75,210.0,0.031515133500290934
-25.99,-25.99,36.75,225.0,0.03468054750484607
-18.38,-31.83,36.75,240.0,0.03620940053189106
-9.51,-35.5,36.75,255.0,0.03571253299803123
-0.0,-36.75,36.75,270.0,0.03377009148631516
9.51,-35.5,36.75,285.0,0.035319783376634446
18.38,-31.83,36.75,300.0,0.03443897553996613
25.99,-25.99,36.75,315.0,0.03603445598285908
31.83,-18.38,36.75,330.0,0.03303887360633291
35.5,-9.51,36.75,345.0,0.03250101823230919
49.0,0.0,49.0,0.0,0.0650872272478099
48.06,9.56,49.0,11.25,0.04893375399549632
45.27,18.75,49.0,22.5,0.06690094239666265
40.74,27.22,49.0,33.75,0.06863627638560384
34.65,34.65,49.0,45.0,0.0660124903629613
27.22,40.74,49.0,56.25,0.06880094377596949
18.75,45.27,49.0,67.5,0.06662245791409917
9.56,48.06,49.0,78.75,0.06701615836413671
0.0,49.0,49.0,90.0,0.06545558772565166
-9.56,48.06,49.0,101.25,0.0674898236307643
-18.75,45.27,49.0,112.5,0.0687880191219407
-27.22,40.74,49.0,123.75,0.0648238801049079
-34.65,34.65,49.0,135.0,0.06776530633922406
-40.74,27.22,49.0,146.25,0.06741662686299567
-45.27,18.75,49.0,157.5,0.06696816181296891
-48.06,9.56,49.0,168.75,0.04645471648914341
-49.0,0.0,49.0,180.0,0.06808629252583356
-48.06,-9.56,49.0,191.25,0.045311431142045694
-45.27,-18.75,49.0,202.5,0.06781152040683133
-40.74,-27.22,49.0,213.75,0.06628804075350746
-34.65,-34.65,49.0,225.0,0.06493313927167312
-27.22,-40.74,49.0,236.25,0.06766797415090448
-18.75,-45.27,49.0,247.5,0.0684298055784455
-9.56,-48.06,49.0,258.75,0.06674585993825376
-0.0,-49.0,49.0,270.0,0.06865272517075002
9.56,-48.06,49.0,281.25,0.06906313612050309
18.75,-45.27,49.0,292.5,0.0642889327438207
27.22,-40.74,49.0,303.75,0.06476811665035968
34.65,-34.65,49.0,315.0,0.06465693829218314
40.74,-27.22,49.0,326.25,0.067848067293111
45.27,-18.75,49.0,337.5,0.06714822622877681
48.06,-9.56,49.0,348.75,0.046238404616991066
61.25,0.0,61.25,0.0,0.11310131687020263
60.5,9.58,61.25,9.0,0.0925729409365632
58.25,18.93,61.25,18.0,0.11370630264986588
54.57,27.81,61.25,27.0,0.11349582724154744
49.55,36.0,61.25,36.0,0.11509638167263958
43.31,43.31,61.25,45.0,0.11651949217944609
36.0,49.55,61.25,54.0,0.11453793048079047
27.81,54.57,61.25,63.0,0.11615421513821164
18.93,58.25,61.25,72.0,0.11590132997642563
9.58,60.5,61.25,81.0,0.11386992885223259
0.0,61.25,61.25,90.0,0.115309661742614
-9.58,60.5,61.25,99.0,0.11342007039887704
-18.93,58.25,61.25,108.0,0.11219888999333295
-27.81,54.57,61.25,117.0,0.11490014424348832
-36.0,49.55,61.25,126.0,0.11345776775803011
-43.31,43.31,61.25,135.0,0.11513893829348998
-49.55,36.0,61.25,144.0,0.1147407582765522
-54.57,27.81,61.25,153.0,0.11468096725976878
-58.25,18.93,61.25,162.0,0.11234155816648127
-60.5,9.58,61.25,171.0,0.09563548163896808
-61.25,0.0,61.25,180.0,0.11675532786359914
-60.5,-9.58,61.25,189.0,0.09533709969829826
-58.25,-18.93,61.25,198.0,0.11241153279388785
-54.57,-27.81,61.25,207.0,0.11617713673019597
-49.55,-36.0,61.25,216.0,0.11536417667847847
