X,Y,R,Theta,Value
0.0,0.0,0.0,0.0,0.001632362710442945
12.25,0.0,12.25,0.0,0.002292097450890363
8.66,8.66,12.25,45.0,0.0006479203914801701
0.0,12.25,12.25,90.0,-0.02147476175640321
-8.66,8.66,12.25,135.0,-0.001759872495413493
-12.25,0.0,12.25,180.0,0.002208376220019406
-8.66,-8.66,12.25,225.0,0.0014299001189083554
-0.0,-12.25,12.25,270.0,0.0002515884159811645
8.66,-8.66,12.25,315.0,-0.001971976184106643
24.5,0.0,24.5,0.0,-0.009021893973960287
22.64,9.38,24.5,22.5,-0.010451648448846305
17.32,17.32,24.5,45.0,-0.006361502967139007
9.38,22.64,24.5,67.5,-0.010671636453636769
0.0,24.5,24.5,90.0,-0.030590420335184748
-9.38,22.64,24.5,112.5,-0.007553803234585827
-17.32,17.32,24.5,135.0,-0.010147279389887454
-22.64,9.38,24.5,157.5,-0.010270508845407042
-24.5,0.0,24.5,180.0,-0.009076134492263807
-22.64,-9.38,24.5,202.5,-0.006818114504703514
-17.32,-17.32,24.5,225.0,-0.010589959588158808
-9.38,-22.64,24.5,247.5,-0.008048895030225251
-0.0,-24.5,24.5,270.0,-0.00897136437963341
9.38,-22.64,24.5,292.5,-0.0110625100433973
17.32,-17.32,24.5,315.0,-0.007557352608946606
22.64,-9.38,24.5,337.5,-0.008044531261017514
36.75,0.0,36.75,0.0,-0.026579937092047833
35.5,9.51,36.75,15.0,-0.02911940456681223
31.83,18.37,36.75,30.0,-0.02955294469864439
25.99,25.99,36.75,45.0,-0.028213604076542564
18.38,31.83,36.75,60.0,-0.027619657790426688
9.51,35.5,36.75,75.0,-0.0284189518614503
0.0,36.75,36.75,90.0,-0.027307245080498345
-9.51,35.5,36.75,105.0,-0.027285195877692937
-18.37,31.83,36.75,120.0,-0.0267412690002967
-25.99,25.99,36.75,135.0,-0.026476945336378066
-31.83,18.37,36.75,150.0,-0.028200771773492492
-35.5,9.51,36.75,165.0,-0.03059454824441566
-36.75,0.0,36.75,180.0,-0.028615637400254898
