X,Y,R,Theta,Value
0.0,0.0,0.0,0.0,0.0
12.25,0.0,12.25,0.0,0.0
8.66,8.66,12.25,45.0,0.0
0.0,12.25,12.25,90.0,-0.02
-8.66,8.66,12.25,135.0,0.0
-12.25,0.0,12.25,180.0,0.0
-8.66,-8.66,12.25,225.0,0.0
-0.0,-12.25,12.25,270.0,0.0
8.66,-8.66,12.25,315.0,0.0
24.5,0.0,24.5,0.0,0.0
22.64,9.38,24.5,22.5,0.0
17.32,17.32,24.5,45.0,0.0
9.38,22.64,24.5,67.5,0.0
0.0,24.5,24.5,90.0,-0.02
-9.38,22.64,24.5,112.5,0.0
-17.32,17.32,24.5,135.0,0.0
-22.64,9.38,24.5,157.5,0.0
-24.5,0.0,24.5,180.0,0.0
-22.64,-9.38,24.5,202.5,0.0
-17.32,-17.32,24.5,225.0,0.0
-9.38,-22.64,24.5,247.5,0.0
-0.0,-24.5,24.5,270.0,0.0
9.38,-22.64,24.5,292.5,0.0
17.32,-17.32,24.5,315.0,0.0
22.64,-9.38,24.5,337.5,0.0
36.75,0.0,36.75,0.0,0.0
35.5,9.51,36.75,15.0,0.0
31.83,18.37,36.75,30.0,0.0
25.99,25.99,36.75,45.0,0.0
18.38,31.83,36.75,60.0,0.0
9.51,35.5,36.75,75.0,0.0
0.0,36.75,36.75,90.0,0.0
-9.51,35.5,36.75,105.0,0.0
-18.37,31.83,36.75,120.0,0.0
-25.99,25.99,36.75,135.0,0.0
-31.83,18.37,36.75,150.0,0.0
-35.5,9.51,36.75,165.0,0.0
-36.75,0.0,36.75,180.0,0.0
-35.5,-9.51,36.75,195.0,0.0
-31.83,-18.38,36.75,210.0,0.0
-25.99,-25.99,36.75,225.0,0.0
-18.38,-31.83,36.75,240.0,0.0
-9.51,-35.5,36.75,255.0,0.0
-0.0,-36.75,36.75,270.0,0.0
9.51,-35.5,36.75,285.0,0.0
18.38,-31.83,36.75,300.0,0.0
25.99,-25.99,36.75,315.0,0.0
31.83,-18.38,36.75,330.0,0.0
35.5,-9.51,36.75,345.0,0.0
49.0,0.0,49.0,0.0,0.0
48.06,9.56,49.0,11.25,-0.02
45.27,18.75,49.0,22.5,0.0
40.74,27.22,49.0,33.75,0.0
34.65,34.65,49.0,45.0,0.0
27.22,40.74,49.0,56.25,0.0
18.75,45.27,49.0,67.5,0.0
9.56,48.06,49.0,78.75,0.0
0.0,49.0,49.0,90.0,0.0
-9.56,48.06,49.0,101.25,0.0
-18.75,45.27,49.0,112.5,0.0
-27.22,40.74,49.0,123.75,0.0
-34.65,34.65,49.0,135.0,0.0
-40.74,27.22,49.0,146.25,0.0
-45.27,18.75,49.0,157.5,0.0
-48.06,9.56,49.0,168.75,-0.02
-49.0,0.0,49.0,180.0,0.0
-48.06,-9.56,49.0,191.25,-0.02
-45.27,-18.75,49.0,202.5,0.0
-40.74,-27.22,49.0,213.75,0.0
-34.65,-34.65,49.0,225.0,0.0
-27.22,-40.74,49.0,236.25,0.0
-18.75,-45.27,49.0,247.5,0.0
-9.56,-48.06,49.0,258.75,0.0
-0.0,-49.0,49.0,270.0,0.0
9.56,-48.06,49.0,281.25,0.0
18.75,-45.27,49.0,292.5,0.0
27.22,-40.74,49.0,303.75,0.0
34.65,-34.65,49.0,315.0,0.0
40.74,-27.22,49.0,326.25,0.0
45.27,-18.75,49.0,337.5,0.0
48.06,-9.56,49.0,348.75,-0.02
61.25,0.0,61.25,0.0,0.0
60.5,9.58,61.25,9.0,-0.02
58.25,18.93,61.25,18.0,0.0
54.57,27.81,61.25,27.0,0.0
49.55,36.0,61.25,36.0,0.0
43.31,43.31,61.25,45.0,0.0
36.0,49.55,61.25,54.0,0.0
27.81,54.57,61.25,63.0,0.0
18.93,58.25,61.25,72.0,0.0
9.58,60.5,61.25,81.0,0.0
0.0,61.25,61.25,90.0,0.0
-9.58,60.5,61.25,99.0,0.0
-18.93,58.25,61.25,108.0,0.0
-27.81,54.57,61.25,117.0,0.0
-36.0,49.55,61.25,126.0,0.0
-43.31,43.31,61.25,135.0,0.0
-49.55,36.0,61.25,144.0,0.0
-54.57,27.81,61.25,153.0,0.0
-58.25,18.93,61.25,162.0,0.0
-60.5,9.58,61.25,171.0,-0.02
-61.25,0.0,61.25,180.0,0.0
-60.5,-9.58,61.25,189.0,-0.02
-58.25,-18.93,61.25,198.0,0.0
-54.57,-27.81,61.25,207.0,0.0
-49.55,-36.0,61.25,216.0,0.0
-43.31,-43.31,61.25,225.0,0.0
-36.0,-49.55,61.25,234.0,0.0
-27.81,-54.57,61.25,243.0,-0.02
-18.93,-58.25,61.25,252.0,-0.02
-9.58,-60.5,61.25,261.0,-0.02
-0.0,-61.25,61.25,270.0,-0.02
9.58,-60.5,61.25,279.0,-0.02
18.93,-58.25,61.25,288.0,-0.02
27.81,-54.57,61.25,297.0,-0.02
36.0,-49.55,61.25,306.0,0.0
43.31,-43.31,61.25,315.0,0.0
49.55,-36.0,61.25,324.0,0.0
54.57,-27.81,61.25,333.0,0.0
58.25,-18.93,61.25,342.0,0.0
60.5,-9.58,61.25,351.0,-0.02
73.5,0.0,73.5,0.0,0.0
72.87,9.59,73.5,7.5,0.0
71.0,19.02,73.5,15.0,-0.02
67.91,28.13,73.5,22.5,0.0
63.65,36.75,73.5,30.0,0.0
58.31,44.74,73.5,37.5,0.0
51.97,51.97,73.5,45.0,0.0
44.74,58.31,73.5,52.5,0.0
36.75,63.65,73.5,60.0,0.0
28.13,67.91,73.5,67.5,0.0
19.02,71.0,73.5,75.0,0.0
9.59,72.87,73.5,82.5,0.0
0.0,73.5,73.5,90.0,0.0
-9.59,72.87,73.5,97.5,0.0
-19.02,71.0,73.5,105.0,0.0
-28.13,67.91,73.5,112.5,0.0
-36.75,63.65,73.5,120.0,0.0
-44.74,58.31,73.5,127.5,0.0
-51.97,51.97,73.5,135.0,0.0
-58.31,44.74,73.5,142.5,0.0
-63.65,36.75,73.5,150.0,0.0
-67.91,28.13,73.5,157.5,0.0
-71.0,19.02,73.5,165.0,-0.02
-72.87,9.59,73.5,172.5,0.0
-73.5,0.0,73.5,180.0,0.0
-72.87,-9.59,73.5,187.5,0.0
-71.0,-19.02,73.5,195.0,-0.02
-67.91,-28.13,73.5,202.5,0.0
-63.65,-36.75,73.5,210.0,0.0
-58.31,-44.74,73.5,217.5,0.0
-51.97,-51.97,73.5,225.0,0.0
-44.74,-58.31,73.5,232.5,0.0
-36.75,-63.65,73.5,240.0,0.0
-28.13,-67.91,73.5,247.5,0.0
-19.02,-71.0,73.5,255.0,0.0
-9.59,-72.87,73.5,262.5,0.0
-0.0,-73.5,73.5,270.0,0.0
9.59,-72.87,73.5,277.5,0.0
19.02,-71.0,73.5,285.0,0.0
28.13,-67.91,73.5,292.5,0.0
36.75,-63.65,73.5,300.0,0.0
44.74,-58.31,73.5,307.5,0.0
51.97,-51.97,73.5,315.0,0.0
58.31,-44.74,73.5,322.5,0.0
63.65,-36.75,73.5,330.0,0.0
67.91,-28.13,73.5,337.5,0.0
71.0,-19.02,73.5,345.0,-0.02
72.87,-9.59,73.5,352.5,0.0
85.75,0.0,85.75,0.0,0.0
85.21,9.6,85.75,6.43,0.0
83.6,19.08,85.75,12.86,-0.02
80.94,28.32,85.75,19.29,0.0
77.26,37.21,85.75,25.71,0.0
72.61,45.62,85.75,32.14,0.0
67.04,53.46,85.75,38.57,0.0
60.63,60.63,85.75,45.0,0.0
53.46,67.04,85.75,51.43,0.0
45.62,72.61,85.75,57.86,0.0
37.21,77.26,85.75,64.29,0.0
28.32,80.94,85.75,70.71,0.0
19.08,83.6,85.75,77.14,0.0
9.6,85.21,85.75,83.57,0.0
0.0,85.75,85.75,90.0,0.0
-9.6,85.21,85.75,96.43,0.0
-19.08,83.6,85.75,102.86,0.0
-28.32,80.94,85.75,109.29,0.0
-37.21,77.26,85.75,115.71,0.0
-45.62,72.61,85.75,122.14,0.0
-53.46,67.04,85.75,128.57,0.0
-60.63,60.63,85.75,135.0,0.0
-67.04,53.46,85.75,141.43,0.0
-72.61,45.62,85.75,147.86,0.0
-77.26,37.21,85.75,154.29,0.0
-80.94,28.32,85.75,160.71,0.0
-83.6,19.08,85.75,167.14,-0.02
-85.21,9.6,85.75,173.57,0.0
-85.75,0.0,85.75,180.0,0.0
-85.21,-9.6,85.75,186.43,0.0
-83.6,-19.08,85.75,192.86,-0.02
-80.94,-28.32,85.75,199.29,0.0
-77.26,-37.21,85.75,205.71,0.0
-72.61,-45.62,85.75,212.14,0.0
-67.04,-53.46,85.75,218.57,0.0
-60.63,-60.63,85.75,225.0,0.0
-53.46,-67.04,85.75,231.43,0.0
-45.62,-72.61,85.75,237.86,0.0
-37.21,-77.26,85.75,244.29,0.0
-28.32,-80.94,85.75,250.71,0.0
-19.08,-83.6,85.75,257.14,0.0
-9.6,-85.21,85.75,263.57,0.0
-0.0,-85.75,85.75,270.0,0.0
9.6,-85.21,85.75,276.43,0.0
19.08,-83.6,85.75,282.86,0.0
28.32,-80.94,85.75,289.29,0.0
37.21,-77.26,85.75,295.71,0.0
45.62,-72.61,85.75,302.14,0.0
53.46,-67.04,85.75,308.57,0.0
60.63,-60.63,85.75,315.0,0.0
67.04,-53.46,85.75,321.43,0.0
72.61,-45.62,85.75,327.86,0.0
77.26,-37.21,85.75,334.29,0.0
80.94,-28.32,85.75,340.71,0.0
83.6,-19.08,85.75,347.14,-0.02
85.21,-9.6,85.75,353.57,0.0
98.0,0.0,98.0,0.0,0.0
97.53,9.61,98.0,5.62,0.0
96.12,19.12,98.0,11.25,-0.02
93.78,28.45,98.0,16.88,0.0
90.54,37.5,98.0,22.5,0.0
86.43,46.2,98.0,28.12,0.0
81.48,54.45,98.0,33.75,0.0
75.76,62.17,98.0,39.38,0.0
69.3,69.3,98.0,45.0,0.0
62.17,75.76,98.0,50.62,0.0
54.45,81.48,98.0,56.25,0.0
46.2,86.43,98.0,61.88,0.0
37.5,90.54,98.0,67.5,-0.02
28.45,93.78,98.0,73.12,0.0
19.12,96.12,98.0,78.75,0.0
9.61,97.53,98.0,84.38,0.0
0.0,98.0,98.0,90.0,0.0
-9.61,97.53,98.0,95.62,0.0
-19.12,96.12,98.0,101.25,0.0
-28.45,93.78,98.0,106.88,0.0
-37.5,90.54,98.0,112.5,-0.02
-46.2,86.43,98.0,118.12,0.0
-54.45,81.48,98.0,123.75,0.0
-62.17,75.76,98.0,129.38,0.0
-69.3,69.3,98.0,135.0,0.0
-75.76,62.17,98.0,140.62,0.0
-81.48,54.45,98.0,146.25,0.0
-86.43,46.2,98.0,151.88,0.0
-90.54,37.5,98.0,157.5,0.0
-93.78,28.45,98.0,163.12,0.0
-96.12,19.12,98.0,168.75,-0.02
-97.53,9.61,98.0,174.38,0.0
-98.0,0.0,98.0,180.0,0.0
-97.53,-9.61,98.0,185.62,0.0
-96.12,-19.12,98.0,191.25,-0.02
-93.78,-28.45,98.0,196.88,0.0
-90.54,-37.5,98.0,202.5,0.0
-86.43,-46.2,98.0,208.12,0.0
-81.48,-54.45,98.0,213.75,0.0
-75.76,-62.17,98.0,219.38,0.0
-69.3,-69.3,98.0,225.0,0.0
-62.17,-75.76,98.0,230.62,0.0
-54.45,-81.48,98.0,236.25,0.0
-46.2,-86.43,98.0,241.88,0.0
-37.5,-90.54,98.0,247.5,0.0
-28.45,-93.78,98.0,253.12,0.0
-19.12,-96.12,98.0,258.75,0.0
-9.61,-97.53,98.0,264.38,0.0
-0.0,-98.0,98.0,270.0,0.0
9.61,-97.53,98.0,275.62,0.0
19.12,-96.12,98.0,281.25,0.0
28.45,-93.78,98.0,286.88,0.0
37.5,-90.54,98.0,292.5,0.0
46.2,-86.43,98.0,298.12,0.0
54.45,-81.48,98.0,303.75,0.0
62.17,-75.76,98.0,309.38,0.0
69.3,-69.3,98.0,315.0,0.0
75.76,-62.17,98.0,320.63,0.0
81.48,-54.45,98.0,326.25,0.0
86.43,-46.2,98.0,331.88,0.0
90.54,-37.5,98.0,337.5,0.0
93.78,-28.45,98.0,343.12,0.0
96.12,-19.12,98.0,348.75,-0.02
97.53,-9.61,98.0,354.38,0.0
110.25,0.0,110.25,0.0,0.0
109.83,9.61,110.25,5.0,0.0
108.58,19.14,110.25,10.0,0.0
106.49,28.53,110.25,15.0,0.0
103.6,37.71,110.25,20.0,0.0
99.92,46.59,110.25,25.0,0.0
95.48,55.12,110.25,30.0,0.0
90.31,63.24,110.25,35.0,0.0
84.46,70.87,110.25,40.0,0.0
77.96,77.96,110.25,45.0,0.0
70.87,84.46,110.25,50.0,0.0
63.24,90.31,110.25,55.0,-0.02
55.13,95.48,110.25,60.0,-0.02
46.59,99.92,110.25,65.0,-0.02
37.71,103.6,110.25,70.0,0.0
28.53,106.49,110.25,75.0,0.0
19.14,108.58,110.25,80.0,0.0
9.61,109.83,110.25,85.0,0.0
0.0,110.25,110.25,90.0,0.0
-9.61,109.83,110.25,95.0,0.0
-19.14,108.58,110.25,100.0,0.0
-28.53,106.49,110.25,105.0,0.0
-37.71,103.6,110.25,110.0,0.0
-46.59,99.92,110.25,115.0,-0.02
-55.12,95.48,110.25,120.0,-0.02
-63.24,90.31,110.25,125.0,-0.02
-70.87,84.46,110.25,130.0,0.0
-77.96,77.96,110.25,135.0,0.0
-84.46,70.87,110.25,140.0,0.0
-90.31,63.24,110.25,145.0,0.0
-95.48,55.12,110.25,150.0,0.0
-99.92,46.59,110.25,155.0,0.0
-103.6,37.71,110.25,160.0,0.0
-106.49,28.53,110.25,165.0,0.0
-108.58,19.14,110.25,170.0,0.0
-109.83,9.61,110.25,175.0,0.0
-110.25,0.0,110.25,180.0,0.0
-109.83,-9.61,110.25,185.0,0.0
-108.58,-19.14,110.25,190.0,0.0
-106.49,-28.53,110.25,195.0,0.0
-103.6,-37.71,110.25,200.0,0.0
-99.92,-46.59,110.25,205.0,0.0
-95.48,-55.13,110.25,210.0,0.0
-90.31,-63.24,110.25,215.0,0.0
-84.46,-70.87,110.25,220.0,0.0
-77.96,-77.96,110.25,225.0,0.0
-70.87,-84.46,110.25,230.0,0.0
-63.24,-90.31,110.25,235.0,0.0
-55.13,-95.48,110.25,240.0,0.0
-46.59,-99.92,110.25,245.0,0.0
-37.71,-103.6,110.25,250.0,0.0
-28.53,-106.49,110.25,255.0,0.0
-19.14,-108.58,110.25,260.0,0.0
-9.61,-109.83,110.25,265.0,0.0
-0.0,-110.25,110.25,270.0,0.0
9.61,-109.83,110.25,275.0,0.0
19.14,-108.58,110.25,280.0,0.0
28.53,-106.49,110.25,285.0,0.0
37.71,-103.6,110.25,290.0,0.0
46.59,-99.92,110.25,295.0,0.0
55.13,-95.48,110.25,300.0,0.0
63.24,-90.31,110.25,305.0,0.0
70.87,-84.46,110.25,310.0,0.0
77.96,-77.96,110.25,315.0,0.0
84.46,-70.87,110.25,320.0,0.0
90.31,-63.24,110.25,325.0,0.0
95.48,-55.13,110.25,330.0,0.0
99.92,-46.59,110.25,335.0,0.0
103.6,-37.71,110.25,340.0,0.0
106.49,-28.53,110.25,345.0,0.0
108.58,-19.14,110.25,350.0,0.0
109.83,-9.61,110.25,355.0,0.0
122.5,0.0,122.5,0.0,0.0
122.12,9.61,122.5,4.5,0.0
120.99,19.16,122.5,9.0,0.0
119.12,28.6,122.5,13.5,0.0
116.5,37.85,122.5,18.0,0.0
113.18,46.88,122.5,22.5,0.0
109.15,55.61,122.5,27.0,0.0
104.45,64.01,122.5,31.5,0.0
99.1,72.0,122.5,36.0,0.0
93.15,79.56,122.5,40.5,0.0
86.62,86.62,122.5,45.0,0.0
79.56,93.15,122.5,49.5,0.0
72.0,99.1,122.5,54.0,-0.02
64.01,104.45,122.5,58.5,0.0
55.61,109.15,122.5,63.0,0.0
46.88,113.18,122.5,67.5,0.0
37.85,116.5,122.5,72.0,0.0
28.6,119.12,122.5,76.5,0.0
19.16,120.99,122.5,81.0,0.0
9.61,122.12,122.5,85.5,0.0
0.0,122.5,122.5,90.0,0.0
-9.61,122.12,122.5,94.5,0.0
-19.16,120.99,122.5,99.0,0.0
-28.6,119.12,122.5,103.5,0.0
-37.85,116.5,122.5,108.0,0.0
-46.88,113.18,122.5,112.5,0.0
-55.61,109.15,122.5,117.0,0.0
-64.01,104.45,122.5,121.5,0.0
-72.0,99.1,122.5,126.0,-0.02
-79.56,93.15,122.5,130.5,0.0
-86.62,86.62,122.5,135.0,0.0
-93.15,79.56,122.5,139.5,0.0
-99.1,72.0,122.5,144.0,0.0
-104.45,64.01,122.5,148.5,0.0
-109.15,55.61,122.5,153.0,0.0
-113.18,46.88,122.5,157.5,0.0
-116.5,37.85,122.5,162.0,0.0
-119.12,28.6,122.5,166.5,0.0
-120.99,19.16,122.5,171.0,0.0
-122.12,9.61,122.5,175.5,0.0
-122.5,0.0,122.5,180.0,0.0
-122.12,-9.61,122.5,184.5,0.0
-120.99,-19.16,122.5,189.0,0.0
-119.12,-28.6,122.5,193.5,0.0
-116.5,-37.85,122.5,198.0,0.0
-113.18,-46.88,122.5,202.5,0.0
-109.15,-55.61,122.5,207.0,0.0
-104.45,-64.01,122.5,211.5,0.0
-99.1,-72.0,122.5,216.0,0.0
-93.15,-79.56,122.5,220.5,0.0
-86.62,-86.62,122.5,225.0,0.0
-79.56,-93.15,122.5,229.5,0.0
-72.0,-99.1,122.5,234.0,0.0
-64.01,-104.45,122.5,238.5,0.0
-55.61,-109.15,122.5,243.0,0.0
-46.88,-113.18,122.5,247.5,0.0
-37.85,-116.5,122.5,252.0,0.0
-28.6,-119.12,122.5,256.5,0.0
-19.16,-120.99,122.5,261.0,0.0
-9.61,-122.12,122.5,265.5,0.0
-0.0,-122.5,122.5,270.0,0.0
9.61,-122.12,122.5,274.5,0.0
19.16,-120.99,122.5,279.0,0.0
28.6,-119.12,122.5,283.5,0.0
37.85,-116.5,122.5,288.0,0.0
46.88,-113.18,122.5,292.5,0.0
55.61,-109.15,122.5,297.0,0.0
64.01,-104.45,122.5,301.5,0.0
72.0,-99.1,122.5,306.0,0.0
79.56,-93.15,122.5,310.5,0.0
86.62,-86.62,122.5,315.0,0.0
93.15,-79.56,122.5,319.5,0.0
99.1,-72.0,122.5,324.0,0.0
104.45,-64.01,122.5,328.5,0.0
109.15,-55.61,122.5,333.0,0.0
113.18,-46.88,122.5,337.5,0.0
116.5,-37.85,122.5,342.0,0.0
119.12,-28.6,122.5,346.5,0.0
120.99,-19.16,122.5,351.0,0.0
122.12,-9.61,122.5,355.5,0.0
134.75,0.0,134.75,0.0,0.0
134.41,9.61,134.75,4.09,0.0
133.38,19.18,134.75,8.18,0.0
131.67,28.64,134.75,12.27,0.0
129.29,37.96,134.75,16.36,0.0
126.25,47.09,134.75,20.45,0.0
122.57,55.98,134.75,24.55,0.0
118.27,64.58,134.75,28.64,0.0
113.36,72.85,134.75,32.73,0.0
107.87,80.75,134.75,36.82,0.0
101.84,88.24,134.75,40.91,0.0
95.28,95.28,134.75,45.0,0.0
88.24,101.84,134.75,49.09,0.0
80.75,107.87,134.75,53.18,0.0
72.85,113.36,134.75,57.27,0.0
64.58,118.27,134.75,61.36,0.0
55.98,122.57,134.75,65.45,0.0
47.09,126.25,134.75,69.55,0.0
37.96,129.29,134.75,73.64,0.0
28.64,131.67,134.75,77.73,0.0
19.18,133.38,134.75,81.82,0.0
9.61,134.41,134.75,85.91,0.0
0.0,134.75,134.75,90.0,0.0
-9.61,134.41,134.75,94.09,0.0
-19.18,133.38,134.75,98.18,0.0
-28.64,131.67,134.75,102.27,0.0
-37.96,129.29,134.75,106.36,0.0
-47.09,126.25,134.75,110.45,0.0
-55.98,122.57,134.75,114.55,0.0
-64.58,118.27,134.75,118.64,0.0
-72.85,113.36,134.75,122.73,0.0
-80.75,107.87,134.75,126.82,0.0
-88.24,101.84,134.75,130.91,0.0
-95.28,95.28,134.75,135.0,0.0
-101.84,88.24,134.75,139.09,0.0
-107.87,80.75,134.75,143.18,0.0
-113.36,72.85,134.75,147.27,0.0
-118.27,64.58,134.75,151.36,0.0
-122.57,55.98,134.75,155.45,0.0
-126.25,47.09,134.75,159.55,0.0
-129.29,37.96,134.75,163.64,0.0
-131.67,28.64,134.75,167.73,0.0
-133.38,19.18,134.75,171.82,0.0
-134.41,9.61,134.75,175.91,0.0
-134.75,0.0,134.75,180.0,0.0
-134.41,-9.61,134.75,184.09,0.0
-133.38,-19.18,134.75,188.18,0.0
-131.67,-28.64,134.75,192.27,0.0
-129.29,-37.96,134.75,196.36,0.0
-126.25,-47.09,134.75,200.45,0.0
-122.57,-55.98,134.75,204.55,0.0
-118.27,-64.58,134.75,208.64,0.0
-113.36,-72.85,134.75,212.73,0.0
-107.87,-80.75,134.75,216.82,0.0
-101.84,-88.24,134.75,220.91,0.0
-95.28,-95.28,134.75,225.0,0.0
-88.24,-101.84,134.75,229.09,0.0
